srcLabelIx,srcLabelName,dstLabelId
854,Ara chloropterus,1323
855,Ara glaucogularis,1324
856,Ara macao,1325
857,Ara militaris,1326
858,Ara rubrogenys,1327
859,Ara severus,1328
860,Arachnothera affinis,1329
861,Arachnothera chrysogenys,1330
862,Arachnothera clarae,1331
863,Arachnothera crassirostris,1332
864,Arachnothera dilutior,1333
865,Arachnothera everetti,1334
866,Arachnothera flammifera,1335
867,Arachnothera flavigaster,1336
868,Arachnothera juliae,1337
869,Arachnothera longirostra,1338
870,Arachnothera magna,1339
871,Arachnothera modesta,1340
872,Arachnothera robusta,1341
873,Aramides albiventris,1343
874,Aramides axillaris,1344
875,Aramides cajaneus,1345
876,Aramides mangle,1347
877,Aramides saracura,1348
878,Aramides wolfi,1349
879,Aramides ypecaha,1350
880,Aramus guarauna,1352
881,Thectocercus acuticaudatus,1354
882,Eupsittula aurea,1356
883,Aratinga auricapillus,1357
884,Eupsittula cactorum,1358
885,Eupsittula canicularis,1360
886,Psittacara chloropterus,1362
887,Psittacara erythrogenys,1363
888,Psittacara euops,1365
889,Psittacara finschi,1366
890,Psittacara brevipes,1369
891,Psittacara holochlorus,1370
892,Psittacara rubritorquis,1371
893,Aratinga jandaya,1372
894,Psittacara leucophthalmus,1373
895,Aratinga maculata,1374
896,Psittacara mitratus,1375
897,Eupsittula nana,1377
898,Aratinga nenday,1379
899,Eupsittula pertinax,1381
900,Aratinga solstitialis,1383
901,Psittacara strenuus,1384
902,Psittacara frontatus,1386
903,Psittacara wagleri,1387
904,Aratinga weddellii,1388
905,Arborophila ardens,1389
906,Arborophila atrogularis,1390
907,Arborophila brunneopectus,1391
908,Arborophila cambodiana,1392
909,Arborophila campbelli,1393
910,Arborophila crudigularis,1394
911,Arborophila davidi,1395
912,Arborophila gingica,1397
913,Arborophila hyperythra,1398
914,Arborophila javanica,1399
915,Arborophila mandellii,1400
916,Arborophila rubrirostris,1403
917,Arborophila rufipectus,1404
918,Arborophila rufogularis,1405
919,Arborophila torqueola,1407
920,Arcanator orostruthus,1408
921,Archboldia papuensis,1409
922,Archilochus alexandri,1410
923,Archilochus colubris,1411
924,Arctocephalus gazella,1420
925,Arctocephalus pusillus pusillus,1423
926,Arcyptera fusca,1429
927,Arcyptera microptera,1431
928,Arcyptera tornosi,1432
929,Ardea alba,1433
930,Ardea intermedia,1435
931,Ardea cinerea,1437
932,Ardea cocoi,1438
933,Ardea goliath,1440
